72 op 0  0.095223 ms
72 op 1  0.098309 ms
72 op 10  0.503626 ms
72 op 11  0.196011 ms
72 op 12  0.511353 ms
72 op 30  0.506480 ms
72 op 31  0.198780 ms
72 op 32  0.514130 ms
72 op 34  0.604731 ms
72 op 35  0.607658 ms

73 op 0  0.094950 ms
73 op 1  0.098010 ms
73 op 10  0.501508 ms
73 op 11  0.196011 ms
73 op 12  0.509214 ms
73 op 30  0.504454 ms
73 op 31  0.199223 ms
73 op 32  0.510637 ms
73 op 34  0.602168 ms
73 op 35  0.604847 ms

74 op 0  0.095191 ms
74 op 1  0.098040 ms
74 op 10  0.500883 ms
74 op 11  0.195938 ms
74 op 12  0.506991 ms
74 op 30  0.503898 ms
74 op 31  0.198717 ms
74 op 32  0.509271 ms
74 op 34  0.601870 ms
74 op 35  0.604763 ms

75 op 0  0.094795 ms
75 op 1  0.097991 ms
75 op 10  0.502982 ms
75 op 11  0.195728 ms
75 op 12  0.508932 ms
75 op 30  0.505840 ms
75 op 31  0.198467 ms
75 op 32  0.511504 ms
75 op 34  0.603822 ms
75 op 35  0.606590 ms

76 op 0  0.095126 ms
76 op 1  0.097947 ms
76 op 10  0.502449 ms
76 op 11  0.196318 ms
76 op 12  0.507864 ms
76 op 30  0.505184 ms
76 op 31  0.198896 ms
76 op 32  0.511729 ms
76 op 34  0.603291 ms
76 op 35  0.606572 ms

77 op 0  0.094456 ms
77 op 1  0.103102 ms
77 op 10  0.501367 ms
77 op 11  0.195324 ms
77 op 12  0.508487 ms
77 op 30  0.504163 ms
77 op 31  0.197887 ms
77 op 32  0.509927 ms
77 op 34  0.602307 ms
77 op 35  0.605045 ms

78 op 0  0.095177 ms
78 op 1  0.098057 ms
78 op 10  0.500449 ms
78 op 11  0.195768 ms
78 op 12  0.507220 ms
78 op 30  0.503118 ms
78 op 31  0.198539 ms
78 op 32  0.510189 ms
78 op 34  0.601378 ms
78 op 35  0.604415 ms

79 op 0  0.094954 ms
79 op 1  0.098065 ms
79 op 10  0.502415 ms
79 op 11  0.195876 ms
79 op 12  0.508215 ms
79 op 30  0.505448 ms
79 op 31  0.198730 ms
79 op 32  0.510685 ms
79 op 34  0.603239 ms
79 op 35  0.606158 ms

80 op 0  0.095813 ms
80 op 1  0.098481 ms
80 op 10  0.502138 ms
80 op 11  0.195883 ms
80 op 12  0.507652 ms
80 op 30  0.504843 ms
80 op 31  0.198654 ms
80 op 32  0.510505 ms
80 op 34  0.603134 ms
80 op 35  0.606172 ms

81 op 0  0.094610 ms
81 op 1  0.097708 ms
81 op 10  0.502848 ms
81 op 11  0.195352 ms
81 op 12  0.507844 ms
81 op 30  0.505615 ms
81 op 31  0.198277 ms
81 op 32  0.510458 ms
81 op 34  0.602527 ms
81 op 35  0.605968 ms

82 op 0  0.094517 ms
82 op 1  0.097545 ms
82 op 10  0.501968 ms
82 op 11  0.195368 ms
82 op 12  0.507925 ms
82 op 30  0.504974 ms
82 op 31  0.198262 ms
82 op 32  0.510538 ms
82 op 34  0.602640 ms
82 op 35  0.605775 ms

83 op 0  0.095236 ms
83 op 1  0.098308 ms
83 op 10  0.502112 ms
83 op 11  0.195796 ms
83 op 12  0.507930 ms
83 op 30  0.505105 ms
83 op 31  0.198741 ms
83 op 32  0.510468 ms
83 op 34  0.603097 ms
83 op 35  0.606270 ms

84 op 0  0.094478 ms
84 op 1  0.097373 ms
84 op 10  0.501215 ms
84 op 11  0.195347 ms
84 op 12  0.508648 ms
84 op 30  0.504086 ms
84 op 31  0.198427 ms
84 op 32  0.510587 ms
84 op 34  0.602075 ms
84 op 35  0.604583 ms

85 op 0  0.095607 ms
85 op 1  0.098317 ms
85 op 10  0.501430 ms
85 op 11  0.196568 ms
85 op 12  0.508358 ms
85 op 30  0.504099 ms
85 op 31  0.199177 ms
85 op 32  0.510961 ms
85 op 34  0.602021 ms
85 op 35  0.604857 ms

86 op 0  0.095011 ms
86 op 1  0.097868 ms
86 op 10  0.503233 ms
86 op 11  0.195866 ms
86 op 12  0.509178 ms
86 op 30  0.506350 ms
86 op 31  0.198568 ms
86 op 32  0.511678 ms
86 op 34  0.604239 ms
86 op 35  0.607093 ms

87 op 0  0.095003 ms
87 op 1  0.097742 ms
87 op 10  0.501258 ms
87 op 11  0.195967 ms
87 op 12  0.506973 ms
87 op 30  0.504190 ms
87 op 31  0.198688 ms
87 op 32  0.509703 ms
87 op 34  0.602087 ms
87 op 35  0.604858 ms

88 op 0  0.094882 ms
88 op 1  0.097662 ms
88 op 10  0.500890 ms
88 op 11  0.195678 ms
88 op 12  0.506472 ms
88 op 30  0.503779 ms
